"","Abelia xgrandiflora","Acer barbatum","Acer leucoderme","Acer negundo","Acer rubrum","Acer saccharinum","Acer saccharum","Agrostis scabra","Andropogon gerardii","Andropogon gyrans","Andropogon virginicus","Angelica venenosa","Antennaria solitaria","Apios americana","Arenaria lanuginosa","Arisaema dracontium","Asclepias humistrata","Asclepias verticillata","Athyrium filix-femina","Atrichum angustatum","Betula alleghaniensis","Betula nigra","Bidens frondosa","Calycanthus floridus","Campanula divaricata","Carex gigantea","Carex louisianica","Carex lurida","Carex pensylvanica","Carpinus caroliniana","Carya alba","Carya glabra","Carya laciniosa","Ceanothus americanus","Celtis occidentalis","Cenchrus longispinus","Cercis canadensis","Chasmanthium laxum","Clitoria mariana","Cnidoscolus urens","Coleataenia anceps","Coreopsis tinctoria","Cornus florida","Desmodium marilandicum","Dichanthelium aciculare","Dichanthelium acuminatum","Dichanthelium boscii","Dichanthelium commutatum","Dichanthelium scoparium","Dichanthelium sphaerocarpon","Dichanthelium strigosum","Diospyros virginiana","Eleocharis obtusa","Euphorbia pubentissima","Euthamia caroliniana","Fagus grandifolia","Fraxinus americana","Fraxinus pennsylvanica","Frullania brittoniae","Frullania plana","Galium tinctorium","Gamochaeta falcata","Geum canadense","Gleditsia triacanthos","Glyceria striata","Gordonia lasianthus","Helenium amarum","Helenium tenuifolium","Hordeum pusillum","Hydrangea arborescens","Ilex glabra","Ilex opaca","Ipomoea lacunosa","Juglans nigra","Juncus acuminatus","Juncus bufonius","Juncus canadensis","Juncus debilis","Juncus dichotomus","Juncus diffusissimus","Juncus effusus","Juncus marginatus","Juncus megacephalus","Juncus roemerianus","Juniperus virginiana","Keteleeria davidiana","Leersia oryzoides","Liquidambar styraciflua","Liriodendron tulipifera","Lyonia lucida","Magnolia grandiflora","Magnolia macrophylla","Malus angustifolia","Marcgravia rectiflora","Melothria pendula","Mimosa microphylla","Mimulus ringens","Morella cerifera","Morus rubra","Nyssa aquatica","Nyssa biflora","Nyssa sylvatica","Oplismenus hirtellus","Ostrya virginiana","Oxydendrum arboreum","Panicum commutatum","Panicum scabriusculum","Passiflora lutea","Persea borbonia","Persicaria hydropiperoides","Phanopyrum gymnocarpon","Phaseolus polystachios","Phoradendron serotinum","Pinus echinata","Pinus elliottii","Pinus glabra","Pinus palustris","Pinus rigida","Pinus serotina","Pinus taeda","Pinus virginiana","Platanus occidentalis","Portulaca pilosa","Prunus serotina","Pterocaulon pycnostachyum","Quercus alba","Quercus bicolor","Quercus coccinea","Quercus douglasii","Quercus falcata","Quercus laurifolia","Quercus lyrata","Quercus margarettae","Quercus marilandica","Quercus michauxii","Quercus muehlenbergii","Quercus nigra","Quercus pagoda","Quercus phellos","Quercus rubra","Quercus shumardii","Quercus stellata","Quercus texana","Quercus velutina","Quercus virginiana","Rhynchosia reniformis","Robinia pseudoacacia","Rorippa palustris","Rubus trivialis","Ruellia ciliosa","Sabal mexicana","Sabal palmetto","Sabatia paniculata","Salvia urticifolia","Sapium sebiferum","Sassafras albidum","Scutellaria parvula","Selaginella rupestris","Setaria parviflora","Sideroxylon tenax","Solidago fistulosa","Spartina patens","Taxodium ascendens","Taxodium distichum","Tilia americana","Tillandsia usneoides","Tridens flavus","Trillium rugelii","Triodanis biflora","Triodanis perfoliata","Ulmus alata","Ulmus americana","Ulmus rubra","Urtica dioica","Vernonia noveboracensis","Vicia hugeri","Vitis cinerea","Vulpia elliotea","Zizania aquatica","Zizaniopsis miliacea"
"chatham",0,0,0,0,654,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,2,3,0,0,2,1,1,1,1,2,1,0,6,0,0,0,0,0,1,0,0,8,0,0,2,0,1,2,0,0,0,1,0,1,0,6,0,0,1,0,0,7,0,4,0,1,0,1,1,0,1,2,1,1,34,0,0,1039,1,1,55,0,0,0,1,0,0,2,0,16,964,6,1,0,0,1,1,1,109,0,1,0,2,0,587,6,41,0,78,1157,0,0,1,18,1,10,1,0,1,19,306,0,3,0,43,0,560,62,65,0,7,15,0,3,277,1,0,0,0,0,4,116,1,0,1,4,1,0,0,3,1,1,66,83,0,1,0,0,0,1,0,21,0,1,2,0,1,1,1,1
"fulton",1,17,0,10,359,1,1,0,0,1,1,1,1,2,1,1,0,0,1,1,3,11,1,0,0,0,1,0,0,102,32,37,2,2,0,0,28,1,0,0,0,1,595,1,1,1,1,0,1,0,1,31,1,1,0,36,7,24,1,1,1,0,1,0,1,0,1,1,0,2,1,4,1,0,1,0,0,0,0,1,1,0,0,0,16,1,1,1426,1085,1,22,4,0,1,0,1,1,0,13,0,51,196,0,3,280,0,0,0,0,1,0,1,0,293,0,0,6,1,0,3513,30,11,0,122,1,499,0,125,0,267,27,11,0,2,5,2,150,6,7,139,0,92,1,125,0,0,0,1,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,1,0,2,5,8,1,0,0,1,0,0,0,0
"cobb",0,4,1,0,163,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,22,3,2,0,0,0,0,7,0,0,0,0,0,115,0,0,0,0,1,0,1,0,23,0,0,0,10,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,638,427,0,7,0,1,0,0,0,0,0,2,0,13,72,0,0,55,0,0,0,0,0,0,0,0,216,0,0,0,0,0,2504,15,0,0,103,0,170,0,17,0,160,36,0,0,4,0,0,82,0,1,56,1,32,0,37,0,0,3,0,1,0,0,0,0,1,0,17,0,1,0,0,0,0,0,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
